programme,category,title,source_path,site_path,size_bytes,modified,note
computer-science-2,exams,ВиС 2021-06 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2021_06.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2021-06-regular-exam-problems.pdf,195112,2024-01-02,
computer-science-2,exams,ВиС 2021-06 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2021_06 решения.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2021-06-regular-exam-solutions.pdf,200626,2024-01-02,
computer-science-2,exams,ВиС 2022-06 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2022_06.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2022-06-regular-exam-problems.pdf,186686,2023-01-29,
computer-science-2,exams,ВиС 2022-06 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2022_06 решения.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2022-06-regular-exam-solutions.pdf,3702611,2024-01-02,
computer-science-2,exams,ВиС 2023-07 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2023_07.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2023-07-regular-exam-problems.pdf,339175,2023-07-02,
computer-science-2,exams,ВиС 2023-07 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2023_07 решения.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2023-07-regular-exam-solutions.pdf,9118786,2023-07-02,
computer-science-2,exams,ВиС 2024-07 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2024_07.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2024-07-regular-exam-problems.pdf,227589,2024-07-17,
computer-science-2,exams,ВиС 2024-07 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС 2024_07 решения.pdf,files/prob-stat/computer-science-2/exams/prob-stat-cs2-2024-07-regular-exam-solutions.pdf,2263415,2024-08-31,
shared,exams,ВиС&СЕМ 2021-08 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС&СЕМ 2021_08.pdf,files/prob-stat/shared/exams/prob-stat-vis-sem-2021-08-resit-exam-problems.pdf,105607,2023-01-29,
shared,exams,ВиС&СЕМ 2021-08 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС&СЕМ 2021_08 решения.pdf,files/prob-stat/shared/exams/prob-stat-vis-sem-2021-08-resit-exam-solutions.pdf,2966259,2024-01-02,
shared,exams,ВиС&СЕМ 2022-08 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС&СЕМ 2022_08.pdf,files/prob-stat/shared/exams/prob-stat-vis-sem-2022-08-resit-exam-problems.pdf,114656,2023-01-29,
shared,exams,ВиС&СЕМ 2022-08 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС&СЕМ 2022_08 решения.pdf,files/prob-stat/shared/exams/prob-stat-vis-sem-2022-08-resit-exam-solutions.pdf,3104739,2024-01-02,
shared,exams,ВиС&СЕМ 2023-08 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС&СЕМ 2023_08.pdf,files/prob-stat/shared/exams/prob-stat-vis-sem-2023-08-resit-exam-problems.pdf,92884,2024-01-02,
shared,exams,ВиС&СЕМ 2023-08 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи ВиС&СЕМ 2023_08 решения.pdf,files/prob-stat/shared/exams/prob-stat-vis-sem-2023-08-resit-exam-solutions.pdf,3370414,2024-01-02,
software-engineering,exams,СЕМ 2021-01 exam problems,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2021_01.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2021-01-regular-exam-problems.pdf,135668,2024-06-13,
software-engineering,exams,СЕМ 2021-01 exam solutions,СЕМ ВиС shared/Изпити/Задачи/Изпит задачи СЕМ 2021_01 решения.pdf,files/prob-stat/software-engineering/exams/prob-stat-softeng-2021-01-regular-exam-solutions.pdf,152351,2024-06-13,
